CSID,CaseMasterID,csdate,cstype
1,1,2025-02-07 10:00:00,A
2,2,2025-10-08 10:00:00,C
3,3,2025-06-01 10:00:00,A
4,4,2025-06-10 10:00:00,A
5,5,2025-05-01 10:00:00,A
6,6,2025-04-20 10:00:00,A
7,7,2025-04-10 10:00:00,A
8,8,2025-09-13 10:00:00,A
9,9,2025-09-27 10:00:00,A
10,10,2025-03-06 10:00:00,A
11,11,2025-01-09 10:00:00,A
12,12,2025-12-17 10:00:00,A
13,13,2025-04-27 10:00:00,A
14,14,2025-06-04 10:00:00,A
15,15,2025-10-19 10:00:00,A
16,16,2025-11-02 10:00:00,A
17,17,2025-07-18 10:00:00,A
18,18,2025-06-22 10:00:00,A
19,19,2025-10-28 10:00:00,A
20,20,2025-03-19 10:00:00,A
21,21,2025-02-05 10:00:00,A
22,22,2025-11-21 10:00:00,A
23,23,2025-04-24 10:00:00,A
24,24,2025-10-15 10:00:00,A
25,25,2025-01-28 10:00:00,A
26,26,2025-09-08 10:00:00,A
27,27,2025-12-23 10:00:00,A
28,28,2025-07-04 10:00:00,A
29,29,2025-04-16 10:00:00,A
30,30,2025-03-19 10:00:00,C
31,31,2025-05-11 10:00:00,A
32,32,2025-04-01 10:00:00,A
33,33,2025-11-01 10:00:00,A
34,34,2025-11-16 10:00:00,A
35,35,2025-06-12 10:00:00,A
36,36,2025-07-22 10:00:00,A
37,37,2025-11-15 10:00:00,B
38,38,2025-06-23 10:00:00,A
39,39,2025-08-12 10:00:00,A
40,40,2025-01-22 10:00:00,A
41,41,2025-06-14 10:00:00,A
42,42,2025-07-22 10:00:00,A
43,43,2025-06-22 10:00:00,A
44,44,2025-02-24 10:00:00,B
45,45,2025-04-03 10:00:00,A
46,46,2025-02-11 10:00:00,A
47,47,2025-08-07 10:00:00,A
48,48,2025-10-17 10:00:00,A
49,49,2025-01-02 10:00:00,A
50,50,2025-06-19 10:00:00,A
51,51,2025-01-12 10:00:00,A
52,52,2025-12-07 10:00:00,A
53,53,2025-07-27 10:00:00,A
54,54,2025-06-09 10:00:00,A
55,55,2025-04-27 10:00:00,A
56,56,2025-08-01 10:00:00,A
57,57,2025-06-15 10:00:00,A
58,58,2025-08-03 10:00:00,A
59,59,2025-01-07 10:00:00,A
60,60,2025-04-08 10:00:00,A
61,61,2025-10-12 10:00:00,A
62,62,2025-02-17 10:00:00,A
63,63,2025-09-10 10:00:00,A
64,64,2025-02-04 10:00:00,A
65,65,2025-04-20 10:00:00,A
66,66,2025-01-17 10:00:00,A
67,67,2025-07-12 10:00:00,A
68,68,2025-09-25 10:00:00,A
69,69,2025-03-20 10:00:00,A
