AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Accused_1_Chavan,21,1,A1
2,2,Accused_2_Sharma,22,1,A2
3,3,Accused_3_Chavan,23,1,A3
4,4,Accused_4_Sharma,24,1,A4
5,5,Accused_5_Chavan,25,1,A5
6,6,Accused_6_Sharma,26,1,A6
7,7,Pradeep 'Pistol' Deshmukh,27,1,REC_OFF_008
8,8,Accused_8_Sharma,28,1,A8
9,9,Accused_9_Chavan,29,1,A9
10,10,Accused_10_Sharma,30,1,A10
11,11,Accused_11_Chavan,31,1,A11
12,12,Accused_12_Sharma,32,1,A12
13,13,Accused_13_Chavan,33,1,A13
14,14,Basavaraj 'Shadow' Patil,34,1,REC_OFF_005
15,15,Accused_15_Chavan,35,1,A15
16,16,Accused_16_Sharma,36,1,A16
17,17,Accused_17_Chavan,37,1,A17
18,18,Accused_18_Sharma,38,1,A18
19,19,Accused_19_Chavan,39,1,A19
20,20,Accused_20_Sharma,40,1,A20
21,21,Kiran 'Blade' Kumar,41,1,REC_OFF_002
22,22,Accused_22_Sharma,42,1,A22
23,23,Accused_23_Chavan,43,1,A23
24,24,Accused_24_Sharma,44,1,A24
25,25,Accused_25_Chavan,45,1,A25
26,26,Accused_26_Sharma,46,1,A26
27,27,Accused_27_Chavan,47,1,A27
28,28,Dharmesh 'Razor' Pujari,48,1,REC_OFF_009
29,29,Accused_29_Chavan,49,1,A29
30,30,Accused_30_Sharma,50,1,A30
31,31,Accused_31_Chavan,51,1,A31
32,32,Accused_32_Sharma,52,1,A32
33,33,Accused_33_Chavan,53,1,A33
34,34,Accused_34_Sharma,54,1,A34
35,35,Anand 'Slick' Kulkarni,20,1,REC_OFF_006
36,36,Accused_36_Sharma,21,1,A36
37,37,Accused_37_Chavan,22,1,A37
38,38,Accused_38_Sharma,23,1,A38
39,39,Accused_39_Chavan,24,1,A39
40,40,Accused_40_Sharma,25,1,A40
41,41,Accused_41_Chavan,26,1,A41
42,42,Manjunath 'Spider' Naik,27,1,REC_OFF_003
43,43,Accused_43_Chavan,28,1,A43
44,44,Accused_44_Sharma,29,1,A44
45,45,Accused_45_Chavan,30,1,A45
46,46,Accused_46_Sharma,31,1,A46
47,47,Accused_47_Chavan,32,1,A47
48,48,Accused_48_Sharma,33,1,A48
49,49,Ganesh 'Viper' Hegde,34,1,REC_OFF_010
50,50,Accused_50_Sharma,35,1,A50
51,51,Accused_51_Chavan,36,1,A51
