ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Rahul Joshi,23,2,2,2,2
2,2,Deepak Reddy,24,3,3,3,1
3,3,Aisha Bhat,25,4,4,4,2
4,4,Siddharth Singh,26,5,5,5,1
5,5,Meena Sharma,27,6,6,1,2
6,6,Kavita Joshi,28,7,7,2,1
7,7,Sanjay Reddy,29,8,1,3,2
8,8,Rajesh Bhat,30,1,2,4,1
9,9,Anita Singh,31,2,3,5,2
10,10,Priya Sharma,32,3,4,1,1
11,11,Rahul Joshi,33,4,5,2,2
12,12,Deepak Reddy,34,5,6,3,1
13,13,Aisha Bhat,35,6,7,4,2
14,14,Siddharth Singh,36,7,1,5,1
15,15,Meena Sharma,37,8,2,1,2
16,16,Kavita Joshi,38,1,3,2,1
17,17,Sanjay Reddy,39,2,4,3,2
18,18,Rajesh Bhat,40,3,5,4,1
19,19,Anita Singh,41,4,6,5,2
20,20,Priya Sharma,42,5,7,1,1
21,21,Rahul Joshi,43,6,1,2,2
22,22,Deepak Reddy,44,7,2,3,1
23,23,Aisha Bhat,45,8,3,4,2
24,24,Siddharth Singh,46,1,4,5,1
25,25,Meena Sharma,47,2,5,1,2
26,26,Kavita Joshi,48,3,6,2,1
27,27,Sanjay Reddy,49,4,7,3,2
28,28,Rajesh Bhat,50,5,1,4,1
29,29,Anita Singh,51,6,2,5,2
30,30,Priya Sharma,52,7,3,1,1
31,31,Rahul Joshi,53,8,4,2,2
32,32,Deepak Reddy,54,1,5,3,1
33,33,Aisha Bhat,55,2,6,4,2
34,34,Siddharth Singh,56,3,7,5,1
35,35,Meena Sharma,57,4,1,1,2
36,36,Kavita Joshi,58,5,2,2,1
37,37,Sanjay Reddy,59,6,3,3,2
38,38,Rajesh Bhat,60,7,4,4,1
39,39,Anita Singh,61,8,5,5,2
40,40,Priya Sharma,62,1,6,1,1
41,41,Rahul Joshi,63,2,7,2,2
42,42,Deepak Reddy,64,3,1,3,1
43,43,Aisha Bhat,65,4,2,4,2
44,44,Siddharth Singh,66,5,3,5,1
45,45,Meena Sharma,22,6,4,1,2
46,46,Kavita Joshi,23,7,5,2,1
47,47,Sanjay Reddy,24,8,6,3,2
48,48,Rajesh Bhat,25,1,7,4,1
49,49,Anita Singh,26,2,1,5,2
50,50,Priya Sharma,27,3,2,1,1
51,51,Rahul Joshi,28,4,3,2,2
52,52,Deepak Reddy,29,5,4,3,1
53,53,Aisha Bhat,30,6,5,4,2
54,54,Siddharth Singh,31,7,6,5,1
55,55,Meena Sharma,32,8,7,1,2
56,56,Kavita Joshi,33,1,1,2,1
57,57,Sanjay Reddy,34,2,2,3,2
58,58,Rajesh Bhat,35,3,3,4,1
59,59,Anita Singh,36,4,4,5,2
60,60,Priya Sharma,37,5,5,1,1
61,61,Rahul Joshi,38,6,6,2,2
62,62,Deepak Reddy,39,7,7,3,1
63,63,Aisha Bhat,40,8,1,4,2
64,64,Siddharth Singh,41,1,2,5,1
65,65,Meena Sharma,42,2,3,1,2
66,66,Kavita Joshi,43,3,4,2,1
67,67,Sanjay Reddy,44,4,5,3,2
68,68,Rajesh Bhat,45,5,6,4,1
69,69,Anita Singh,46,6,7,5,2
70,70,Priya Sharma,47,7,1,1,1
71,71,Rahul Joshi,48,8,2,2,2
