AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,1,Mahesh Chavan,21,1,A0001
2,2,Dinesh Sharma,22,1,A0002
3,3,Ashok Chavan,23,1,A0003
4,4,Santosh Sharma,24,1,A0004
5,5,Suresh Chavan,25,1,A0005
6,6,Mahesh Sharma,26,1,A0006
7,7,Pradeep Deshmukh,27,1,REC_OFF_008
8,8,Ashok Sharma,28,1,A0008
9,9,Santosh Chavan,29,1,A0009
10,10,Suresh Sharma,30,1,A0010
11,11,Mahesh Chavan,31,1,A0011
12,12,Dinesh Sharma,32,1,A0012
13,13,Ashok Chavan,33,1,A0013
14,14,Basavaraj Patil,34,1,REC_OFF_005
15,15,Suresh Chavan,35,1,A0015
16,16,Mahesh Sharma,36,1,A0016
17,17,Dinesh Chavan,37,1,A0017
18,18,Ashok Sharma,38,1,A0018
19,19,Santosh Chavan,39,1,A0019
20,20,Suresh Sharma,40,1,A0020
21,21,Kiran Kumar,41,1,REC_OFF_002
22,22,Dinesh Sharma,42,1,A0022
23,23,Ashok Chavan,43,1,A0023
24,24,Santosh Sharma,44,1,A0024
25,25,Suresh Chavan,45,1,A0025
26,26,Mahesh Sharma,46,1,A0026
27,27,Dinesh Chavan,47,1,A0027
28,28,Dharmesh Pujari,48,1,REC_OFF_009
29,29,Santosh Chavan,49,1,A0029
30,30,Suresh Sharma,50,1,A0030
31,31,Mahesh Chavan,51,1,A0031
32,32,Dinesh Sharma,52,1,A0032
33,33,Ashok Chavan,53,1,A0033
34,34,Santosh Sharma,54,1,A0034
35,35,Anand Kulkarni,20,1,REC_OFF_006
36,36,Mahesh Sharma,21,1,A0036
37,37,Dinesh Chavan,22,1,A0037
38,38,Ashok Sharma,23,1,A0038
39,39,Santosh Chavan,24,1,A0039
40,40,Suresh Sharma,25,1,A0040
41,41,Mahesh Chavan,26,1,A0041
42,42,Manjunath Naik,27,1,REC_OFF_003
43,43,Ashok Chavan,28,1,A0043
44,44,Santosh Sharma,29,1,A0044
45,45,Suresh Chavan,30,1,A0045
46,46,Mahesh Sharma,31,1,A0046
47,47,Dinesh Chavan,32,1,A0047
48,48,Ashok Sharma,33,1,A0048
49,49,Ganesh Hegde,34,1,REC_OFF_010
50,50,Suresh Sharma,35,1,A0050
51,51,Mahesh Chavan,36,1,A0051
52,52,Dinesh Sharma,37,1,A0052
53,53,Ashok Chavan,38,1,A0053
54,54,Santosh Sharma,39,1,A0054
55,55,Suresh Chavan,40,1,A0055
56,56,Sunil Shetty,41,1,REC_OFF_007
57,57,Dinesh Chavan,42,1,A0057
58,58,Ashok Sharma,43,1,A0058
59,59,Santosh Chavan,44,1,A0059
60,60,Suresh Sharma,45,1,A0060
61,61,Mahesh Chavan,46,1,A0061
62,62,Dinesh Sharma,47,1,A0062
63,63,Venkatesh Rao,48,1,REC_OFF_004
64,64,Santosh Sharma,49,1,A0064
65,65,Suresh Chavan,50,1,A0065
66,66,Mahesh Sharma,51,1,A0066
67,67,Dinesh Chavan,52,1,A0067
68,68,Ashok Sharma,53,1,A0068
69,69,Santosh Chavan,54,1,A0069
70,70,Ramesh Gowda,20,1,REC_OFF_001
71,71,Mahesh Chavan,21,1,A0071
72,72,Dinesh Sharma,22,1,A0072
73,73,Ashok Chavan,23,1,A0073
74,74,Santosh Sharma,24,1,A0074
75,75,Suresh Chavan,25,1,A0075
76,76,Mahesh Sharma,26,1,A0076
77,77,Pradeep Deshmukh,27,1,REC_OFF_008
78,78,Ashok Sharma,28,1,A0078
79,79,Santosh Chavan,29,1,A0079
80,80,Suresh Sharma,30,1,A0080
81,81,Mahesh Chavan,31,1,A0081
82,82,Dinesh Sharma,32,1,A0082
